identifier,labels,text,en,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH
SchoolFun,child_survey,Is school fun?,Is school fun?,Is school fun?,Is school fun?,Is school fun?,Is school fun?,Is school fun?,Is school fun?,Is school fun?
SchoolFun,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
SchoolFun,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
SchoolFun,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
SchoolFun,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
SchoolEnjoy,child_survey,Do you enjoy school?,Do you enjoy school?,Do you enjoy school?,Do you enjoy school?,Do you enjoy school?,Do you enjoy school?,Do you enjoy school?,Do you enjoy school?,Do you enjoy school?
SchoolEnjoy,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
SchoolEnjoy,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
SchoolEnjoy,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
SchoolEnjoy,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
SchoolHappy,child_survey,Are you happy at school?,Are you happy at school?,Are you happy at school?,Are you happy at school?,Are you happy at school?,Are you happy at school?,Are you happy at school?,Are you happy at school?,Are you happy at school?
SchoolHappy,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
SchoolHappy,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
SchoolHappy,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
SchoolHappy,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
SchoolSafe,child_survey,Do you feel safe at school?,Do you feel safe at school?,Do you feel safe at school?,Do you feel safe at school?,Do you feel safe at school?,Do you feel safe at school?,Do you feel safe at school?,Do you feel safe at school?,Do you feel safe at school?
SchoolSafe,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
SchoolSafe,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
SchoolSafe,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
SchoolSafe,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
ClassFriends,child_survey,Do you have friends in your class?,Do you have friends in your class?,Do you have friends in your class?,Do you have friends in your class?,Do you have friends in your class?,Do you have friends in your class?,Do you have friends in your class?,Do you have friends in your class?,Do you have friends in your class?
ClassFriends,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
ClassFriends,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
ClassFriends,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
ClassFriends,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
ClassHelp,child_survey,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?
ClassHelp,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
ClassHelp,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
ClassHelp,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
ClassHelp,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
ClassPlay,child_survey,Do the kids in your class play with you?,Do the kids in your class play with you?,Do the kids in your class play with you?,Do the kids in your class play with you?,Do the kids in your class play with you?,Do the kids in your class play with you?,Do the kids in your class play with you?,Do the kids in your class play with you?,Do the kids in your class play with you?
ClassPlay,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
ClassPlay,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
ClassPlay,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
ClassPlay,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
ClassNice,child_survey,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Are the kids in your class nice to you?
ClassNice,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
ClassNice,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
ClassNice,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
ClassNice,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
LonelySchool,child_survey,Do you feel lonely at school?,Do you feel lonely at school?,Do you feel lonely at school?,Do you feel lonely at school?,Do you feel lonely at school?,Do you feel lonely at school?,Do you feel lonely at school?,Do you feel lonely at school?,Do you feel lonely at school?
LonelySchool,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
LonelySchool,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
LonelySchool,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
LonelySchool,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
LearningGood,child_survey,Are you good at learning things in school?,Are you good at learning things in school?,Are you good at learning things in school?,Are you good at learning things in school?,Are you good at learning things in school?,Are you good at learning things in school?,Are you good at learning things in school?,Are you good at learning things in school?,Are you good at learning things in school?
LearningGood,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
LearningGood,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
LearningGood,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
LearningGood,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
SchoolGiveUp,child_survey,"When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?"
SchoolGiveUp,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
SchoolGiveUp,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
SchoolGiveUp,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
SchoolGiveUp,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
ReadingEnjoy,child_survey,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?
ReadingEnjoy,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
ReadingEnjoy,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
ReadingEnjoy,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
ReadingEnjoy,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
MathEnjoy,child_survey,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?
MathEnjoy,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
MathEnjoy,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
MathEnjoy,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
MathEnjoy,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
ReadingGood,child_survey,Are you good at reading?,Are you good at reading?,Are you good at reading?,Are you good at reading?,Are you good at reading?,Are you good at reading?,Are you good at reading?,Are you good at reading?,Are you good at reading?
ReadingGood,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
ReadingGood,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
ReadingGood,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
ReadingGood,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
MathGood,child_survey,Are you good at math?,Are you good at math?,Are you good at math?,Are you good at math?,Are you good at math?,Are you good at math?,Are you good at math?,Are you good at math?,Are you good at math?
MathGood,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
MathGood,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
MathGood,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
MathGood,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
GrowthMindSmart,child_survey,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?
GrowthMindSmart,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
GrowthMindSmart,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
GrowthMindSmart,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
GrowthMindSmart,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
GrowthMindRead,child_survey,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?
GrowthMindRead,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
GrowthMindRead,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
GrowthMindRead,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
GrowthMindRead,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
GrowthMindMath,child_survey,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?
GrowthMindMath,child_survey,"No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never","No, never"
GrowthMindMath,child_survey,"Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time","Yes, some of the time"
GrowthMindMath,child_survey,"Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time","Yes, most of the time"
GrowthMindMath,child_survey,"Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always"
navigation.startSurvey,child_survey,Start Survey,Start Survey,Comenzar Encuesta,Umfrage starten,Démarrer le sondage,Start enquête,Umfrage starten,Comenzar Encuesta,Start Survey
navigation.previous,child_survey,Previous,Previous,Anterior,Zurück,Précédent,Vorige,Zurück,Anterior,Previous
navigation.next,child_survey,Next,Next,Siguiente,Weiter,Suivant,Volgende,Weiter,Siguiente,Next
navigation.finish,child_survey,Finish,Finish,Terminar,Beenden,Terminer,Afsluiten,Beenden,Terminar,Finish
